id,Event URL,Beedier Event ID
259,https://www.eventbrite.co.uk/e/bridges-for-ukraine-accelerating-opportunities-for-reconstructing-ukraine-tickets-1372007073089?aff=ebdssbdestsearch,13269
262,https://www.eventbrite.co.uk/e/experience-oxfordshire-venues-partner-meeting-tickets-1356207034749?aff=ebdssbdestsearch,13279
263,https://www.eventbrite.co.uk/e/architects-advance-your-renewable-heating-knowledge-cpd-workshop-tickets-1354978289539?aff=ebdssbdestsearch,13261
264,https://www.eventbrite.co.uk/e/iht-in-a-post-budget-landscape-what-now-for-pensions-tickets-1362985469229?aff=ebdssbdestsearch,13272
265,https://www.eventbrite.co.uk/e/bima-house-the-unbreakable-rise-of-women-leaders-tickets-1368589872149?aff=ebdssbdestsearch,13271
267,https://www.eventbrite.co.uk/e/specifier-summit-2025-tickets-1368487786809?aff=ebdssbdestsearch,13266
268,https://www.eventbrite.co.uk/e/innovation-with-impact-creative-strategies-for-business-transformation-tickets-1349623753979?aff=ebdssbdestsearch,13270
269,https://www.eventbrite.com/e/multiple-streams-of-property-income-how-to-invest-to-invest-in-the-north-tickets-1368358740829?aff=ebdssbdestsearch,13281
270,https://www.eventbrite.co.uk/e/heritage-open-day-guided-tour-of-the-jo-cox-more-in-common-building-tickets-1299587584449?aff=ebdssbdestsearch,13256
272,https://www.eventbrite.co.uk/e/new-tax-year-strategiespositioning-your-finances-for-successhealthcare-tickets-1349142695119?aff=ebdssbdestsearch,13260
274,https://www.eventbrite.co.uk/e/hemel-st-albans-property-network-cic-tickets-389466443617?aff=ebdssbdestsearch,13249
275,https://www.eventbrite.co.uk/e/digital-technology-crime-and-the-law-conference-save-the-date-tickets-1113870920909?aff=ebdssbdestsearch,13277
280,https://www.eventbrite.ie/e/triroof-flexible-roofing-overlay-course-supplementary-course-tickets-1256588894209?aff=ebdssbdestsearch,13273
281,https://www.eventbrite.com/e/dublin-architects-forum-tickets-1349613172329?aff=ebdssbdestsearch,13290
282,https://www.eventbrite.ie/e/cyber-security-for-healthcare-tickets-1320909117729?aff=ebdssbdestsearch,13264
284,https://www.eventbrite.ie/e/forest-fest-music-arts-festival-2025-tickets-1078623194009?aff=ebdssbdestsearch,13287
285,https://www.eventbrite.ie/e/mother-pride-block-party-2025-tickets-1306929634719?aff=ebdssbdestsearch,13288
287,https://www.eventbrite.co.uk/e/dublin-stem-women-graduate-careers-event-tickets-1073037958419?aff=ebdssbdestsearch,13283
1006,https://www.eventbrite.ie/e/matterport-3d-capture-training-course-tickets-1354514432129?aff=ebdssbdestsearch,13297
1208,https://www.architecture.com/whats-on/ribaj-breakfast-briefing-the-faade-talks,13389
1224,https://nla.london/events/slavery-and-the-city-walking-tour,13390
1327,https://www.eventbrite.co.uk/e/exploring-lincoln-cathedral-visitors-centre-tickets-1348028402239?aff=ebdssbdestsearch,13391
1339,https://www.eventbrite.co.uk/e/aia-uk-building-tour-series-urbanest-city-by-hopkins-architects-and-apt-tickets-1382035488349?aff=ebdssbdestsearch,13401
1417,https://www.eventbrite.co.uk/e/digital-transformation-conference-london-november-2025-expo-tickets-1382273590519?aff=ebdssbdestsearch,13404
1418,https://www.eventbrite.co.uk/e/built-by-us-mentoring-series-2025-mentoring-for-change-tickets-1368628146629?aff=ebdssbdestsearch,13396
1424,https://www.eventbrite.co.uk/e/dubai-property-show-in-manchester-2025-tickets-1381438964129?aff=ebdssbdestsearch,13398
1425,https://www.eventbrite.co.uk/e/propertydev-construction-sector-business-networking-breakfast-at-polo-tickets-1379225393279?aff=ebdssbdestsearch,13397
1427,https://www.eventbrite.co.uk/e/mastermind-lunch-by-agency-folk-sept-tickets-1120728883259?aff=ebdssbdestsearch,13393
1432,https://www.eventbrite.co.uk/e/dubai-property-show-featuring-athlon-by-aldar-properties-tickets-1380432925039?aff=ebdssbdestsearch,13403
1443,https://www.eventbrite.com/e/elmbridge-uk-wood-painting-and-coatings-open-day-tickets-1367146204099?aff=ebdssbdestsearch,13399
1446,https://www.eventbrite.co.uk/e/dubai-hills-estate-investors-sales-event-tickets-1380431470689?aff=ebdssbdestsearch,13392
1457,https://www.eventbrite.com/e/landlord-summer-briefing-tickets-1324873194389?aff=ebdssbdestsearch,13400
1458,https://www.eventbrite.co.uk/e/ideas-to-action-strategy-vision-mapping-tm-for-business-clarity-tickets-1381720315659?aff=ebdssbdestsearch,13394
